"","V1","V2","V3"
"1",-0.0862392408906185,-0.0432169471160191,0.00366917967286708
"2",-0.133600477070815,-0.0653147673359497,0.0133757864728493
"3",-0.149035900720486,0.20613629509572,-0.222765093562095
"4",-0.139646137810161,-0.0568635998193743,-0.0220966647577844
"5",-0.124552660535669,-0.068619798789454,-0.000597849170907441
"6",-0.118214945470092,-0.0735660884015907,-0.00210003461335287
"7",-0.104980135516571,-0.0619393179110561,0.00124497757577268
"8",-0.0895401476350498,-0.0548135972718101,0.00481880074737684
"9",-0.0737371730149734,-0.041272960051677,0.000718078793779875
"10",-0.0584621838288595,-0.0309857977905624,0.00099880067662251
"11",-0.041263338713509,-0.0238820192962808,0.000313728694843555
